ts,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-02-13 18:45:24,5.2,29.8,0.0,0.0,0.0,7447.165405587025,0.0,1353.12109375,51.249,51.0,1815.0,98.3,39.56640625,3.0,3115.740946531296,5.0,30.3515625,13.0,8383.848459720612,2.5,23.27734375,5.0,8382.800945043564,1.3,4.71875,384.0,1770997523.7803483,1.3,59.7578125,33.0,8386.198843717575
2026-02-13 18:45:25,5.2,29.8,0.0,0.0,0.0,7447.165405587025,0.0,1353.12109375,51.249,51.0,1815.0,98.3,39.56640625,3.0,3115.740946531296,5.0,30.3515625,13.0,8383.848459720612,2.5,23.27734375,5.0,8382.800945043564,1.3,4.71875,384.0,1770997523.7803483,1.3,59.7578125,33.0,8386.198843717575
2026-02-13 18:45:26,4.7,29.8,0.0,0.0,0.0,122466.28374137211,0.0,1353.12109375,51.377,51.0,1815.0,100.5,39.56640625,3.0,3116.969312429428,5.1,30.3515625,13.0,8385.082934379578,3.8,59.76953125,33.0,8387.42932009697,1.3,23.28515625,5.0,8384.035271167755,1.3,310.95703125,275.0,8381.999557256699
2026-02-13 18:45:27,5.4,29.8,0.0,0.0,0.0,7780.464856305576,0.0,1353.12109375,51.318,51.0,1815.0,98.8,39.5703125,3.0,3118.2188856601715,3.8,92.29296875,116.0,8343.15001654625,3.8,310.96484375,275.0,8383.244600057602,3.8,122.00390625,47.0,8377.776491880417,2.6,25.60546875,12.0,8371.910030603409
2026-02-13 18:45:28,4.7,29.8,693.7592454392093,687.1833284208282,0.0,6733.739026822278,0.0,1353.12109375,51.368,51.0,1815.0,100.3,39.5703125,3.0,3119.4338550567627,3.9,133.95703125,51.0,4744.775212526321,3.8,30.390625,14.0,8387.541368246078,1.3,4.71875,384.0,1770997527.4806638,1.3,59.76953125,33.0,8389.892428159714
2026-02-13 18:45:29,5.3,29.8,40.69142072810826,43.94673438635692,0.0,4583.481630814114,0.0,1353.12109375,51.33,51.0,1815.0,97.7,39.56640625,3.0,3120.664177417755,3.8,59.76953125,33.0,8391.123268127441,3.8,30.38671875,14.0,8388.77169084549,1.3,4.71875,384.0,1770997528.7100627,1.3,109.671875,34.0,8357.406553268433
2026-02-13 18:45:30,5.3,29.8,40.69142072810826,43.94673438635692,0.0,4583.481630814114,0.0,1353.12109375,51.33,51.0,1815.0,97.7,39.56640625,3.0,3120.664177417755,3.8,59.76953125,33.0,8391.123268127441,3.8,30.38671875,14.0,8388.77169084549,1.3,4.71875,384.0,1770997528.7100627,1.3,109.671875,34.0,8357.406553268433
2026-02-13 18:45:31,4.6,29.8,0.0,44.39016281053821,0.0,14310.073226034245,0.0,1353.12109375,51.461,51.0,1815.0,101.0,39.5703125,3.0,3121.8860042095184,5.2,30.38671875,14.0,8389.98257112503,3.9,27.1015625,9.0,8375.57211303711,1.3,115.9375,147.0,8392.38627409935,1.3,59.0625,33.0,8392.34435415268
2026-02-13 18:45:32,5.4,29.8,0.0,0.0,0.0,9248.170613163567,0.0,1353.12109375,51.41,51.0,1815.0,99.6,38.96484375,3.0,3123.094056367874,5.2,59.1015625,33.0,8393.551380872726,5.1,30.390625,14.0,8391.202874660492,3.8,4.71875,384.0,1770997531.144453,2.6,16.765625,6.0,8388.122943878174
2026-02-13 18:45:33,6.1,29.8,530.5491200772985,612.3627694350128,0.0,76161.06994754491,0.0,1353.12109375,51.573,52.0,1815.0,99.6,39.5703125,3.0,3124.301831960678,3.9,59.1015625,33.0,8394.760072231293,2.6,92.29296875,116.0,8349.23822593689,1.3,8.1953125,15.0,8395.933734178543,1.3,33.90234375,10.0,8395.697558879852
2026-02-13 18:45:34,4.9,29.8,53.83659640706964,97.88472074012662,0.0,15035.093105683449,0.0,1353.12109375,51.501,52.0,1815.0,99.5,39.5703125,3.0,3125.541793346405,5.0,59.1015625,33.0,8396.003727436066,2.5,30.3515625,13.0,8393.662338972092,1.3,4.71875,384.0,1770997533.580438,1.3,12.21484375,10.0,8395.975478887558
