rank,feature,importance,importance_share,mean_feature_mse,windows_used
1,gpu_clock_mhz,873.5828763032146,0.2820455889947795,246.77885398566463,1151
2,cpu,785.9943145566356,0.2537666836302873,50.022358063300935,1151
3,p2_rss_mb,410.58230954061685,0.13256089658633116,20.562719323550173,1151
4,p1_cpu,271.9918867255376,0.08781549406959605,13.606351081854774,1151
5,net_in_bps,208.41259362612675,0.06728823826304921,97.33348437457578,1151
6,p1_age_s,90.98041084349207,0.02937400017721171,7.881532962378163,1151
7,net_out_bps,84.27292068971954,0.027208415133806146,4.224784738389851,1151
8,gpu_power_w,60.36656049766508,0.019489990672897858,13.500165022942006,1151
9,gpu_mem_used_mb,56.84652145213401,0.018353508362160768,2.850198614814818,1151
10,gpu_util,56.15457940785187,0.018130107461429203,6.567580182483981,1151
11,ram,44.42123633151879,0.014341871967566876,2.243498668786653,1151
12,gpu_temp_c,26.339556126466118,0.008504007831503842,3.184086909820265,1151
13,p3_cpu,24.392937654417356,0.007875521206605136,8.975026916981157,1151
14,disk_write_bps,15.807532979134992,0.005103631344654511,138.440671282784,1151
15,p5_cpu,13.008440456837803,0.004199914341359939,7.742669311841605,1151
16,p5_rss_mb,11.853322073027531,0.0038269719980997853,10.191952013534426,1151
17,p1_rss_mb,10.078633643978062,0.0032539948292115268,0.5141528649085714,1151
18,p4_cpu,8.68103228849913,0.002802764261192543,9.006447666940431,1151
19,p1_threads,6.505758091639064,0.0021004536862934157,0.5169850406597015,1151
20,p4_rss_mb,5.7630828406684405,0.0018606730263538889,2.9330814470942386,1151
21,p3_threads,4.679479842596112,0.001510820191416064,2.8809406138004996,1151
22,p2_cpu,4.578972545527666,0.0014783703339739135,1.6068000031180427,1151
23,p4_age_s,4.016791084349207,0.0012968640274274596,3.5587474779912847,1151
24,p3_rss_mb,3.399020383090791,0.0010974101392772176,1.3775322961351542,1151
25,p3_age_s,3.0105163945414315,0.0009719774651147812,2.2249506362928297,1151
26,disk_read_bps,2.8108725991070944,0.000907520327274906,6.050776106290047,1151
27,p4_threads,2.5306148313626737,0.0008170361049784046,2.031045762898091,1151
28,p2_threads,2.4419558050319696,0.0007884115886566495,5.177859839100511,1151
29,p5_age_s,2.2160766230366935,0.000715484075245313,2.3925570198808104,1151
30,p5_threads,1.1496063020310123,0.00037116270861507284,1.4512588408177671,1151
31,p2_age_s,0.4404846689786008,0.0001422151936299152,2.4410871344996368,1151
