file,rows,windows,TP,FP,FN,TN,precision,recall,f1_score,FPR,positive_rate,first_event_sec,delay_sec,events
mixed_browser_YTSAGCYTW_infected_by_sample1,6000,597,202,0,1,394,1.0,0.9950738916256158,0.9975308641975309,0.0,0.33835845896147404,1970,-30,1
mixed_infected,5752,572,202,0,1,369,1.0,0.9950738916256158,0.9975308641975309,0.0,0.3531468531468531,1970,-30,1
mixed_infected_sample_tag_monero,6000,597,201,0,2,394,1.0,0.9901477832512315,0.995049504950495,0.0,0.33668341708542715,1970,-30,1
mixed_infected_sample_tag_monero_with_browser_act,6000,597,202,0,1,394,1.0,0.9950738916256158,0.9975308641975309,0.0,0.33835845896147404,1970,-30,1
mixed_stock_activity_infected_by_sample1,6000,597,183,0,20,394,1.0,0.9014778325123153,0.9481865284974093,0.0,0.3065326633165829,1970,-30,5
