rank,feature,importance,importance_share,mean_feature_mse,windows_used
1,gpu_clock_mhz,990.634375,0.2822322341060277,279.84313808497535,1015
2,cpu,891.2101139162562,0.25390621187405543,56.714507966440884,1015
3,p2_rss_mb,465.59533943965516,0.13264834751914217,23.3161770223984,1015
4,p1_cpu,308.43551175723525,0.08787343318354009,15.42901289615725,1015
5,net_in_bps,234.83430656846522,0.06690441262706814,109.65147711091441,1015
6,p1_age_s,103.16476461476293,0.029391693578417383,8.935665487655864,1015
7,net_out_bps,95.54728005695813,0.027221468378007378,4.788936972030865,1015
8,gpu_power_w,68.45489628232758,0.01950283454807201,15.306742370304804,1015
9,gpu_mem_used_mb,64.4576246440117,0.018364009838087007,3.231059625935672,1015
10,gpu_util,63.6756273091133,0.01814121840215149,7.444572741879618,1015
11,ram,50.37399962476909,0.014351577952213482,2.543337418880369,1015
12,gpu_temp_c,29.864450238608374,0.008508396966530395,3.604758878059575,1015
13,p3_cpu,27.61222026054495,0.007866735507498742,10.14226026112223,1015
14,disk_write_bps,17.923588464295335,0.005106439412093992,156.934583180996,1015
15,p5_cpu,14.666619963246614,0.004178527440067036,8.699437334032481,1015
16,p5_rss_mb,13.437768915486453,0.0038284271554964717,11.48893459677109,1015
17,p1_rss_mb,11.401543137122845,0.003248305402128236,0.5804689379161214,1015
18,p4_cpu,9.784982344904556,0.002787746415412297,10.11464410791256,1015
19,p1_threads,7.377034184498153,0.0021017207675308584,0.5853839667559845,1015
20,p4_rss_mb,6.5326045595366375,0.001861142340602958,3.295320016644858,1015
21,p3_threads,5.2480946507947195,0.0014951848184085951,3.2069693429129464,1015
22,p2_cpu,5.159375420932112,0.001469908664981868,1.8030684597973754,1015
23,p4_age_s,4.4878730661176105,0.0012785973047166287,3.9469664024014777,1015
24,p3_rss_mb,3.8536207377616996,0.001097898495815677,1.5490398538523706,1015
25,p3_age_s,3.353626931477063,0.0009554500077073479,2.4752388038071507,1015
26,disk_read_bps,3.174762023023784,0.0009044913048903385,6.8310634669411945,1015
27,p4_threads,2.7930826722694735,0.0007957506649589538,2.2085656076816504,1015
28,p2_threads,2.7684741992668567,0.0007887396985633385,5.766422606219212,1015
29,p5_age_s,2.444664354747152,0.0006964861102055533,2.604334969356142,1015
30,p5_threads,1.2295527866908482,0.00035030021034657745,1.5340801971886546,1015
31,p2_age_s,0.49950527487130003,0.0001423093052617647,2.755747489741283,1015
