file,rows,windows,positive_windows,positive_rate,score_min,score_mean,score_max,first_event_sec,events
browser_YTSAGCYTW_infected_by_sample1,5100,507,507,1.0,45.34516143798828,129.50750732421875,179.58726501464844,0,1
infected_sample_tag_monero,3462,343,343,1.0,37.456695556640625,170.02415466308594,3483.759765625,0,1
infected_sample_tag_monero_with_browser_act,3478,344,344,1.0,52.38056182861328,4786.205078125,1548770.25,0,1
second_sample_of_virus,8374,834,834,1.0,46.64734649658203,215.38426208496094,2637.058837890625,0,1
stock_activity_infected_by_sample1,11034,1100,1091,0.9918181818181818,1.2622750997543335,112.05015563964844,261.8838195800781,0,5
