T,H,train_windows,val_windows,best_epoch,best_val_loss,threshold,infected_mean_positive_rate,mixed_mean_precision,mixed_mean_recall,mixed_mean_f1,mixed_mean_FPR,mixed_mean_detection_delay_sec
30,10,2360,590,17,0.4244986236095428,1.4750630855560303,0.9996363636363637,0.9040570386158622,0.993103448275862,0.946482830682536,0.054968153742451134,-30.0
60,10,2345,587,15,0.428619909286499,1.3194748163223267,0.9998176845943483,0.8846411811481973,0.9825242718446601,0.9310038405922938,0.06889324358865127,-60.0
120,10,2316,580,17,0.4109651237726212,1.3491630554199219,0.9998166819431713,0.8899674895250863,0.968867924528302,0.9276937749773045,0.06842456204158333,-120.0
180,10,2288,572,17,0.42457300424575806,1.4039921760559082,0.999815668202765,0.9050736229955506,0.9357798165137616,0.9201406311973221,0.059561087879671945,-180.0
240,10,2259,565,16,0.4225182599491543,1.399781346321106,0.9998146431881372,0.8971171684727286,0.9107142857142856,0.9038460906468291,0.06738949124270224,-240.0
