H,train_windows,val_windows,best_epoch,best_val_loss,threshold,infected_mean_positive_rate,mixed_mean_precision,mixed_mean_recall,mixed_mean_f1,mixed_mean_FPR,mixed_mean_detection_delay_sec
1,2321,581,12,0.38594554364681244,1.2506434917449951,0.9989010989010989,0.8068707809640481,0.9575471698113208,0.8757001630321752,0.13081479690522244,-120.0
5,2319,580,10,0.40267675518989565,1.2788654565811157,0.9994500458295142,0.8698820234699618,0.9641509433962263,0.9145355261131863,0.08233012062799297,-120.0
10,2316,580,17,0.4104031205177307,1.4791491031646729,0.9996333638863428,0.9045777680283112,0.9566037735849056,0.9298387598063449,0.057634721464508695,-120.0
20,2312,578,9,0.42769109308719633,1.2135459184646606,1.0,0.867414772854049,0.964319248826291,0.9132981869712544,0.08506810903574767,-230.0
30,2307,577,14,0.4322605192661285,1.2311086654663086,1.0,0.8726140513919504,0.9663551401869158,0.9170642766109107,0.08222862632084534,-1810.0
