model,T,threshold,infected_positive_rate,mixed_precision,mixed_recall,mixed_f1,mixed_FPR,mixed_detection_delay_sec
isolation_forest,30,0.019784413724652037,0.398515812005243,1.0,0.3306930693069307,0.42820801589557755,0.0,204.0
one_class_svm,30,0.11150117766966178,1.0,1.0,1.0,1.0,0.0,-20.0
