quantile,threshold,min_consecutive,mean_precision,mean_recall,mean_f1,mean_FPR,mean_detection_delay_sec,mean_events,eligible
0.99,1.7366585731506348,3,0.9880801649928264,0.9812807881773399,0.984520006818344,0.006091370558375634,-30.0,3.0,1
0.99,1.7366585731506348,2,0.9784209701891168,0.9832512315270936,0.9807278538459823,0.011236295104067793,-30.0,4.2,1
0.9925,1.879409909248352,1,0.9360427615408167,0.9812807881773399,0.9579965730997595,0.0349304609797367,-1780.0,15.0,1
0.99,1.7366585731506348,1,0.9232606140379096,0.9842364532019705,0.9527009797308027,0.04264784779827493,-1820.0,16.6,1
0.99,1.7366585731506348,4,1.0,0.9753694581280788,0.9871657252080993,0.0,-30.0,1.8,0
0.99,1.7366585731506348,5,1.0,0.9753694581280788,0.9871657252080993,0.0,-30.0,1.8,0
0.99,1.7366585731506348,6,1.0,0.9753694581280788,0.9871657252080993,0.0,-30.0,1.8,0
0.9925,1.879409909248352,4,1.0,0.9714285714285713,0.9849629744824394,0.0,-26.0,2.0,0
0.9925,1.879409909248352,5,1.0,0.9714285714285713,0.9849629744824394,0.0,-26.0,2.0,0
0.9925,1.879409909248352,2,0.9880472702559843,0.9793103448275862,0.983458390559124,0.006091370558375634,-26.0,3.4,0
0.9925,1.879409909248352,3,0.9880136756311243,0.9773399014778326,0.9823859137755131,0.006091370558375634,-26.0,3.2,0
0.9925,1.879409909248352,6,1.0,0.9665024630541872,0.9821438041240022,0.0,-14.0,1.8,0
0.995,2.015026569366455,2,0.9879475745472875,0.9733990147783252,0.9802602495911572,0.006091370558375634,-26.0,3.6,0
0.997,2.059967279434204,2,0.9879299482253134,0.9724137931034484,0.9797114869709489,0.006091370558375634,-26.0,3.6,0
0.995,2.015026569366455,4,1.0,0.9586206896551724,0.9775726881997508,0.0,-26.0,1.6,0
0.995,2.015026569366455,5,1.0,0.9586206896551724,0.9775726881997508,0.0,-26.0,1.6,0
0.997,2.059967279434204,4,1.0,0.9586206896551724,0.9775726881997508,0.0,-26.0,1.6,0
0.997,2.059967279434204,5,1.0,0.9586206896551724,0.9775726881997508,0.0,-26.0,1.6,0
0.995,2.015026569366455,3,0.9878388624832682,0.9674876847290641,0.9769245773290531,0.006091370558375634,-26.0,3.0,0
0.999,2.2312188148498535,2,0.9878388624832682,0.9674876847290641,0.9769245773290531,0.006091370558375634,-26.0,3.4,0
0.99,1.7366585731506348,8,1.0,0.9566502463054187,0.9762750135140671,0.0,-30.0,1.2,0
0.99,1.7366585731506348,10,1.0,0.9566502463054187,0.9762750135140671,0.0,-30.0,1.2,0
0.997,2.059967279434204,3,0.9877817268814401,0.9645320197044335,0.9752171355906676,0.006091370558375634,-26.0,2.8,0
0.995,2.015026569366455,6,1.0,0.9536945812807882,0.9745663942345526,0.0,-14.0,1.4,0
0.997,2.059967279434204,6,1.0,0.9536945812807882,0.9745663942345526,0.0,-14.0,1.4,0
0.999,2.2312188148498535,4,1.0,0.9527093596059114,0.9739552245822871,0.0,-14.0,1.4,0
0.999,2.2312188148498535,5,1.0,0.9527093596059114,0.9739552245822871,0.0,-14.0,1.4,0
0.999,2.2312188148498535,6,1.0,0.9527093596059114,0.9739552245822871,0.0,-14.0,1.4,0
0.999,2.2312188148498535,3,0.9877226096980453,0.9615763546798031,0.973482447441563,0.006091370558375634,-26.0,2.8,0
0.9925,1.879409909248352,8,1.0,0.9477832512315271,0.9707127770505168,0.0,-14.0,1.2,0
0.995,2.015026569366455,8,1.0,0.9467980295566504,0.9702165052011097,0.0,-14.0,1.2,0
0.997,2.059967279434204,8,1.0,0.9467980295566504,0.9702165052011097,0.0,-14.0,1.2,0
0.9925,1.879409909248352,10,1.0,0.9399014778325123,0.9655284195086175,0.0,78.0,1.0,0
0.995,2.015026569366455,10,1.0,0.9389162561576356,0.9650321476592103,0.0,78.0,1.0,0
0.997,2.059967279434204,10,1.0,0.9389162561576356,0.9650321476592103,0.0,78.0,1.0,0
0.999,2.2312188148498535,8,1.0,0.9389162561576356,0.9650321476592103,0.0,78.0,1.0,0
0.999,2.2312188148498535,10,1.0,0.9389162561576356,0.9650321476592103,0.0,78.0,1.0,0
0.999,2.2312188148498535,1,0.9488675142266818,0.9714285714285715,0.9596108476257145,0.027213074161198465,-1780.0,12.4,0
0.995,2.015026569366455,1,0.940213946192807,0.9773399014778326,0.9582183422945064,0.03235799870689062,-1780.0,14.6,0
0.997,2.059967279434204,1,0.9401479596946597,0.9763546798029556,0.9576823687954181,0.03235799870689062,-1780.0,14.6,0
