ts,cpu,ram,net_in_bps,net_out_bps,disk_read_bps,disk_write_bps,gpu_util,gpu_mem_used_mb,gpu_power_w,gpu_temp_c,gpu_clock_mhz,p1_cpu,p1_rss_mb,p1_threads,p1_age_s,p2_cpu,p2_rss_mb,p2_threads,p2_age_s,p3_cpu,p3_rss_mb,p3_threads,p3_age_s,p4_cpu,p4_rss_mb,p4_threads,p4_age_s,p5_cpu,p5_rss_mb,p5_threads,p5_age_s
2026-05-14 18:03:33,88.7,51.4,51381523.86032181,208064.23669034825,17732.64905292689,16294087.898508197,0.0,0.0,0.0,0.0,0.0,544.1,32.6953125,19.0,1279.3843004703522,98.9,23.1484375,4.0,1.1178858280181885,97.9,68.9296875,11.0,12.391162395477297,51.6,0.1640625,273.0,1778771012.6982276,45.5,150.484375,61.0,37.29381227493286
2026-05-14 18:03:34,77.2,51.2,12412793.77439504,73414.69197432145,4091.579970158389,21759533.728798583,0.0,0.0,0.0,0.0,0.0,558.8,32.34375,19.0,1280.2964959144592,75.3,23.390625,4.0,2.0310750007629395,44.0,393.82421875,24.0,36.59586310386658,37.8,71.20703125,11.0,13.30165195465088,25.6,300.68359375,8.0,251170.86937522888
2026-05-14 18:03:35,64.2,51.2,673.9087878225641,10204.904501313114,32861.07613001455,13263038.398662591,0.0,0.0,0.0,0.0,0.0,580.3,32.34375,19.0,1281.0817313194275,65.0,23.390625,4.0,2.921178102493286,17.2,0.1640625,273.0,1778771014.6947963,5.3,150.74609375,61.0,39.08224987983704,3.5,16.81640625,5.0,251155.1982944012
2026-05-14 18:03:36,55.7,51.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.7,32.34375,19.0,1282.051869392395,42.2,23.390625,4.0,3.883390188217163,1.6,300.91015625,8.0,251172.78868174556,1.6,150.74609375,61.0,40.04840588569641,1.6,278.5234375,28.0,36.76915001869202
2026-05-14 18:03:37,64.1,51.1,0.0,0.0,32752.632210686057,6536197.165545036,0.0,0.0,0.0,0.0,0.0,591.6,32.34375,19.0,1283.2155451774595,86.1,74.3515625,11.0,16.221131324768066,46.1,23.390625,4.0,4.968601226806641,20.1,184.1953125,28.0,37.6867401599884,5.5,96.06640625,43.0,376.41430926322937
2026-05-14 18:03:38,65.0,51.1,735.4576524450749,10269.4270301332,65487.70748728319,5535246.150819663,0.0,0.0,0.0,0.0,0.0,584.0,32.34375,19.0,1284.0863950252533,57.5,23.390625,4.0,5.919680833816528,33.9,75.12890625,11.0,17.09530758857727,9.4,0.1640625,273.0,1778771017.6965556,6.9,96.04296875,43.0,377.3137619495392
2026-05-14 18:03:39,64.0,51.0,419.3662968660505,53.91852388277792,43965.56377049032,9013451.80043622,0.0,0.0,0.0,0.0,0.0,590.2,32.34375,19.0,1285.1272447109222,84.0,80.86328125,11.0,18.13606429100037,48.0,23.390625,4.0,6.962308406829834,22.4,185.44140625,28.0,39.606070041656494,13.5,99.2578125,43.0,378.3575322628021
2026-05-14 18:03:40,64.1,51.1,291.2239915363064,207.15933418562005,464741.450465966,3939798.249870797,0.0,0.0,0.0,0.0,0.0,585.6,32.34375,19.0,1286.1415586471558,98.7,86.26171875,11.0,19.149046182632446,49.8,23.390625,4.0,7.935152530670166,7.7,185.52734375,28.0,40.62266683578491,4.7,278.8984375,28.0,40.83635187149048
2026-05-14 18:03:41,70.7,50.7,11948.616710971644,19284.5580698348,277124.0227130359,9280075.668342438,0.0,0.0,0.0,0.0,0.0,568.1,32.34375,19.0,1287.1581733226776,96.6,100.05078125,11.0,20.16753053665161,54.1,23.390625,4.0,9.00266981124878,51.5,0.1640625,273.0,1778771020.7003255,10.5,100.35546875,43.0,380.39022040367126
2026-05-14 18:03:42,67.7,50.9,566.0963467431375,317.25189309597897,77663.26342989564,8405398.556442104,0.0,0.0,0.0,0.0,0.0,589.5,32.34375,19.0,1288.088828086853,97.6,162.40234375,11.0,21.097050428390503,43.3,23.390625,4.0,9.90457320213318,25.0,186.390625,28.0,42.62025785446167,23.2,0.1640625,273.0,1778771021.7085214
